player_tag,player_name,player_is_current_member,player_role,player_donations,player_donations_received,player_trophies,player_contribution_count,player_participating_count,player_total_decks_used,s_20260316_fame,s_20260316_decks_used,s_20260309_fame,s_20260309_decks_used,s_20260302_fame,s_20260302_decks_used,s_20260223_fame,s_20260223_decks_used,s_20260216_fame,s_20260216_decks_used,s_20260209_fame,s_20260209_decks_used,s_20260202_fame,s_20260202_decks_used,s_20260126_fame,s_20260126_decks_used,s_20260119_fame,s_20260119_decks_used,s_20260112_fame,s_20260112_decks_used
#8P89UPQ0,mojede,True,member,0,40,10188,2,10,2,0,0,200,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#UVQPQ2080,made in OHIO,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#CP90QG2LQ,tom,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#CPY9CULYY,player5676,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#URJ0LUYPV,elazeto,True,member,242,40,7593,1,10,4,0,0,0,0,500,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#RG02LG88,Ser0,True,member,39,80,10095,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#8YJQP09GY,HeavyBobM.amb0,False,unknown,0,0,0,1,10,4,700,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#JV80LLPQ2,ratboy2007,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#VQCC0G0RQ,gregor是凝灰岩,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#220G9GG90Y,PYROPHIOS,False,unknown,0,0,0,1,10,8,0,0,0,0,1300,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Y8PVULPU0,gang,True,member,253,0,11874,8,10,32,100,1,100,1,1200,10,1100,7,0,0,300,3,0,0,300,2,600,4,800,4
#29L2P9YJ,Christian97_,True,member,72,40,10091,1,10,4,350,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#PYG8RLUJ,Amp,True,member,26,40,11218,7,10,53,500,4,200,2,1000,8,600,4,2100,14,1400,9,1450,12,0,0,0,0,0,0
#R22R8GYG,bequemo,True,member,145,360,12118,10,10,71,900,6,1250,7,950,5,1600,7,1200,6,1450,7,1100,5,1150,9,2000,10,1750,9
#PPR2QQC0U,Flauschos,True,elder,68,440,11707,10,10,128,1300,10,2400,15,1800,12,2600,16,2200,14,1900,12,1100,8,2200,13,2200,16,1900,12
#2P0U2RLGY,mauza,True,elder,546,280,10295,10,10,134,1950,12,2500,14,1850,12,1500,12,2500,16,2400,16,1800,12,2000,12,2050,12,2350,16
#YPU0YPCJ8,Amin,False,unknown,0,0,0,5,10,34,1150,12,800,8,200,2,350,4,700,8,0,0,0,0,0,0,0,0,0,0
#GQVLYJPR9,Goosi,False,unknown,0,0,0,7,10,45,1200,8,1300,8,1400,7,1100,8,1300,7,450,3,0,0,500,4,0,0,0,0
#YQVQYUYRV,Fxry,True,elder,108,160,11122,5,10,71,1250,7,2900,16,3200,16,2800,16,3000,16,0,0,0,0,0,0,0,0,0,0
#2L8LLRUYV,MF Tarje,True,elder,74,80,11913,7,10,66,1400,7,1050,6,700,4,2750,14,1500,11,1750,12,1950,12,0,0,0,0,0,0
#8QYYL8LCQ,SirHenry87,True,elder,316,240,10483,10,10,100,1500,11,1000,8,1200,11,1200,8,700,7,1900,16,2100,15,1300,13,900,8,300,3
#YQ82VR9JQ,chris,True,elder,648,440,12099,10,10,159,1950,15,2500,16,2100,16,2400,16,2500,16,3100,16,2850,16,2600,16,2700,16,2600,16
#QULCQGGG,Citykingalex,True,elder,433,400,11676,10,10,96,1550,11,1150,7,1750,10,1350,8,1850,13,1950,11,1800,11,1350,8,1200,8,1500,9
#CL9UVPRPY,Theezy 2.0,False,unknown,0,0,0,10,10,153,1550,9,2500,16,2400,16,2900,16,2700,16,2500,16,2450,16,3250,16,2350,16,2300,16
#CUJ9PJ2UV,AaleDieter,True,coLeader,16,40,10387,10,10,147,1700,12,2350,14,1300,11,2600,15,2250,15,2500,16,2850,16,2550,16,1900,16,2050,16
#Q2GRGLQR,honigmelone,True,elder,331,480,6070,10,10,152,2100,13,2500,16,2000,16,2400,16,2100,16,2600,16,2000,14,1600,13,2400,16,2600,16
#V9GYJQ0J9,Boi,True,member,97,304,8225,2,10,30,1700,16,1500,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#2CPRGY8G,Swordfish,True,coLeader,249,280,11357,10,10,155,2450,16,2200,16,1950,12,2700,16,2300,16,2700,16,2200,16,2550,15,2700,16,2600,16
#9CG2CRRJG,Annefred,True,elder,4,80,11745,10,10,134,2200,13,2500,16,1300,8,1400,12,2100,12,2400,14,2400,16,2100,13,2500,16,2000,14
#G02LC9C8,lukasl 5,True,elder,0,120,12030,10,10,120,1800,12,2150,16,1700,12,1750,16,2200,12,1100,7,2050,11,2050,12,2000,12,1650,10
#2U8288CVY,_spc07,True,coLeader,241,240,12000,10,10,149,1800,12,2850,16,3000,16,2650,16,2650,16,2450,12,2750,16,2650,16,2200,13,2900,16
#QVQGCV8Y9,Rainer,True,elder,0,0,11564,10,10,131,1900,14,2450,16,1950,16,2550,16,2150,13,1300,8,1700,12,2150,12,2250,15,1600,9
#ULYJ2CQP,Knitte,True,elder,844,480,12196,10,10,137,2000,12,1900,14,2200,12,1950,11,1850,12,2200,16,2950,16,3050,16,2950,16,2300,12
#P0JYR9YUY,Chico,True,elder,109,360,12153,10,10,117,2000,13,2400,16,1900,12,1900,12,2200,13,1700,12,700,4,2100,14,1600,9,1900,12
#2V800VCQ0,Desteoyer,True,elder,20,440,11133,10,10,151,2000,12,2350,16,2300,15,2450,15,2550,16,2350,16,2500,16,2500,16,2100,13,2800,16
#22Q920RLR,LazyFrog,True,coLeader,535,440,12587,10,10,145,2000,12,2500,15,2200,11,2600,16,2600,15,2750,16,2800,16,2000,12,3200,16,3050,16
#UUPCULU9V,OmniOni,True,elder,573,320,10067,10,10,157,2050,13,2750,16,2650,16,2700,16,2900,16,2500,16,2900,16,2600,16,2750,16,3050,16
#22CQPRR0J,Ian,True,elder,0,0,12308,10,10,146,2100,11,2400,16,1950,11,2900,16,2200,12,2800,16,2900,16,3100,16,2600,16,2750,16
#JRGC9RRQG,seroo,True,elder,46,0,11642,10,10,135,2100,13,2000,12,2600,16,2600,16,2200,16,1900,12,1550,11,2200,16,2000,14,1300,9
#2PUQYJC02,Wario,True,elder,159,160,11144,10,10,159,2200,16,2700,15,2600,16,2600,16,2500,16,2300,16,2500,16,2400,16,2500,16,2500,16
#P2GUCG2Y,king rado,True,elder,0,0,11500,10,10,108,2200,13,2000,12,500,4,2700,16,2250,16,2400,13,1000,6,1800,10,1400,10,1450,8
#20QGJVPG8Q,maghrebi,True,elder,403,470,9693,2,10,32,2200,16,2300,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#2UQUPYQCJ,andiquariat,True,elder,0,0,11042,10,10,160,2300,16,2250,16,2550,16,2600,16,2500,16,2700,16,2700,16,2500,16,2350,16,2550,16
#LVUGLUCP9,Nati,True,elder,28,0,9759,10,10,148,2350,16,2450,15,1900,12,1800,13,2550,16,2400,16,2000,12,2750,16,2050,16,2750,16
#2U09UULRR,Dolphin,True,coLeader,164,440,10712,10,10,160,2400,16,2100,16,2200,16,2300,16,2500,16,2400,16,2200,16,2300,16,2000,16,2600,16
#YJ0LUU0JJ,RedStyle,True,elder,129,160,10537,10,10,147,2400,16,2900,16,2400,16,3200,16,1050,8,2600,16,2500,16,2350,16,2450,16,1950,11
#JUUR8UGL8,Theezy,True,elder,156,560,10718,10,10,159,2500,16,2150,16,3000,16,2750,16,2500,16,2850,16,2400,16,2050,15,2450,16,2000,16
#202VP2QL9P,eco,True,elder,146,480,9849,10,10,144,2500,16,900,8,1700,12,2100,16,2200,16,1500,12,2500,16,2400,16,2000,16,2100,16
#RLJPJL8C2,kl.kranker Affe,True,elder,7,0,10150,10,10,155,2550,15,2800,16,3150,16,1950,14,2550,16,2950,16,2700,15,2300,16,3150,16,2500,15
#2CJYG9UG,Jackhammer,True,elder,281,432,11196,10,10,156,2650,16,2950,16,2650,16,2550,16,2450,16,1900,12,3000,16,2700,16,2550,16,3100,16
#2QRVR9L8,Bensie,True,coLeader,1009,480,12246,10,10,156,2700,16,2700,16,1850,12,2250,16,2600,16,3000,16,3000,16,2750,16,3100,16,2550,16
#8P0J8P0L,OneAndOnly,True,leader,710,400,10480,10,10,160,2700,16,2800,16,2050,16,2450,16,2950,16,3100,16,2600,16,3050,16,2700,16,2400,16
#2VJR80RL,Denis,True,elder,225,160,11323,10,10,119,2750,16,1700,8,2250,12,1250,7,2250,12,1750,12,1350,8,2800,16,2600,16,1700,12
#UJ2P9UYUV,hi2oka,True,elder,282,200,12180,10,10,128,2800,16,3000,16,2300,12,2400,12,2950,16,3200,16,1500,8,1850,12,1800,12,1400,8
#L8PV090J,rote sonne,True,elder,110,320,12530,10,10,154,2800,16,3150,16,2600,16,2250,16,2200,16,3000,16,2450,16,2150,16,1700,10,2800,16
#R0LGYVLP,Milchreis,True,elder,0,0,11244,10,10,140,2850,16,800,4,2750,16,2150,12,2750,16,1900,12,2850,16,2750,16,2550,16,2100,16
#Q8L0RJ8Y8,Erastus,True,elder,1076,440,11536,10,10,160,3200,16,2750,16,2700,16,3000,16,2700,16,2850,16,2600,16,2400,16,2700,16,3000,16
#80LL922V8,Aaron⚡⚡,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#R2RQ00V99,yacine,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#JVQQG2UU,Hinterwäldler,False,unknown,0,0,0,5,10,25,0,0,0,0,0,0,450,5,400,4,400,4,500,4,825,8,0,0,0,0
#VPPVY9VPQ,MV-KRIEGER88,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#YV82CRLQJ,BD/⚡️TORM™️,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#LLG9CY8CY,Raul,False,unknown,0,0,0,3,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1,2000,14,1300,10
#QV2UPUY88,Luis,False,unknown,0,0,0,4,10,13,0,0,0,0,0,0,0,0,0,0,0,0,200,1,600,4,900,5,300,3
#LP8GVCLY8,Adriano,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#200CQYGG22,çaltılı,False,unknown,0,0,0,7,10,71,0,0,0,0,0,0,875,7,900,8,1000,10,1050,6,1250,12,1250,12,1650,16
#UGLRPLVPP,FOX G7Brasil,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#V8289UYRQ,mirco'xx,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#20GRL2JPLY,k1ro,False,unknown,0,0,0,1,10,4,0,0,0,0,0,0,0,0,0,0,0,0,400,4,0,0,0,0,0,0
#8UQ08PC0Q,cybork,False,unknown,0,0,0,5,10,64,0,0,0,0,0,0,0,0,0,0,2500,15,2300,15,1900,12,1600,10,1800,12
#UCJQJCRR2,APO_LLO,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#CCQ2QV2Q0,felixf2p,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#9PC9R2G,Warlord,False,unknown,0,0,0,2,10,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200,16,2300,16
#P9U882QCP,Leo,False,unknown,0,0,0,1,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,4
#Y0ULJUYV,Mr.Milka,False,unknown,0,0,0,1,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,2
#PU2J2VJ0C,Algun,False,unknown,0,0,0,2,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,4,700,6
#J08PG8U0L,bugra,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#99LG9V0V,Vinni15,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#UVGV9LLP8,Surgical gb,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#VU9Y9J0UU,『ㄌ拉WEATHER ㄤ昂』,False,unknown,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#LLQQJCLC,bes,True,member,54,0,11324,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Y882QLJQJ,NL-eSports,True,member,0,0,10436,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
